UUID,Date,Description,Category,Amount,Note
F07DD41B-2DC9-45F6-B393-ADA362D4F92E,2024-12-20,Fish and chips,,50,
C97234D9-1AAC-4FB5-8461-8463EE133E0B,2024-12-20,Fish and Chips,,51,
D3F967FA-D919-48F2-B060-6BC679E7A2B6,2024-12-20,Fish and chips,San Francisco,51,
5CD9E471-C206-4771-A85E-316B3547BEE7,2024-12-20,Uber to KSAN,Transportation,25,
FC64ABE3-97F7-47BE-A1F2-0F1B0B0AFDF8,2024-12-20,Uber to SFO,San Francisco,10,
FC795F39-A6B3-4176-B7D0-D7DCB3240E56,2024-12-21,Espresso Date,Dining Out,6.5,
DBCE76B9-AC6B-4ABC-82B5-DA2DA6A24DCF,2024-12-21,Charger,Home,16.28,
E5913549-3B4E-473C-9280-8A5B70833D76,2024-12-21,Scomas,Dining Out,73.82,
E3E6827F-3A2C-4C36-9B45-24EDE063079D,2024-12-21,Sweatshirt in SFO,Home,64.85,
A3E68F49-953A-4DD6-9A56-0B0FE843E162,2024-12-21,Italian SFO uber,Dining Out,9.98,
6DF08E5E-485F-4622-B482-C0C741D3DA95,2024-12-22,Wine Tasting SFO,Entertainment,60,
53E63598-AC5B-48F1-B129-43495E8292CE,2024-12-22,Two ubers to dinner,Transportation,20,
8A6C1567-77CC-4626-B925-4B80CD61BB44,2024-12-22,Coffee and Ice Cream,Dining Out,20.1,
65370AA1-26C4-4B19-B06D-8756E3CB7BDC,2024-12-22,SFO Biking,San Francisco,104,
9D6F975B-D65C-474B-9FC7-04146EA37989,2024-12-22,Uber to SFO,San Francisco,47.51,
2813286B-D003-4C82-A358-54CF0FDB628E,2024-12-22,Sushi,Dining Out,46.58,
5F61538C-8D37-4D97-9040-B5E6A92CBC17,2024-12-23,Airtag,Home,31.5,
FF0EA4D8-CBF3-4942-8EFE-D392D3250045,2024-12-23,Ice cream,San Francisco,10,
DB87F006-B62D-4384-9EC1-C265993B8B51,2024-12-23,Coffee present,Christmas,10,
CBDCA178-F73F-47D2-860D-123EF6D66A75,2024-12-25,Test,,0.01,
CE11DA1B-90D3-4A39-BE72-B99786D9BD53,2024-12-26,Coffee PBI,Dining Out,31.11,
CF3DCB55-D61D-483E-8D22-A8D7CF68C935,2024-12-26,Jupiter T Shirt,Christmas,55.8,
8C8B40B1-3140-439A-A69A-17BF2D23B99C,2024-12-26,Jupiter Drinks,Entertainment,46.58,
ED39E395-1731-4C69-960B-38E0704515A7,2024-12-26,Transmission fluid,Home,58.83,
8354B8AD-3420-45C7-B118-719280B0E8D0,2024-12-28,Gas for TBIRD,Transportation,20,
225CC94E-535B-4B21-9542-BEF5B476F6F2,2024-12-30,Uber from Christams Leave,Transportation,32,
21D66B6E-8854-42D1-9125-90E2D7C73673,2024-12-30,Airport dinner,Dining Out,13.58,
9EF5FA57-7AC6-47F3-A883-26933C955966,2024-12-30,Parking,Transportation,5,
8F6E773B-04CF-4417-B771-E83680EFD9CF,2024-12-30,Taco Stand,Dining Out,13.08,
3CC9A265-E234-4404-BDD7-E1A68FCE8C6D,2024-12-31,ChatGPT,Utilities,20,
CD36D8A6-F090-498A-B5F6-F7BC6324133C,2025-01-02,Allen Key,Home,16.03,
C1F6429E-3BF9-439C-B026-90EC1687CE91,2025-01-02,Ralphs,Groceries,21.92,
964152D3-CB71-4431-A042-618D5562F9C2,2025-01-02,Xbox,Entertainment,19.99,
D67AD97F-8036-45AD-9F42-09EAF536325B,2025-01-04,Saucony Shoes,Home,104.98,
8AEF594E-857C-4DB1-ABE9-C147CC84D596,2025-01-05,Flowers,Groceries,10.75,
0A987FC4-5835-4D09-90A5-1991124874E3,2025-01-05,Kenyan Food Farmers Makrst,Dining Out,14.5,
4D08CA22-7D59-4E2F-A71C-CC15C42057C7,2025-01-05,El pescador Sandwhiches,Dining Out,52.8,
A89A83C8-BA03-40B7-A8B9-F3B14DAC3126,2025-01-06,BellyUp Concert,Entertainment,17.5,
4E8CB269-E7B5-439F-8774-A3D5FFFEB906,2025-01-08,Sushi,Dining Out,27,
B9726EF5-59A2-48A7-A435-99C08419E16D,2025-01-09,Rosemonts,Dining Out,26.85,
BC1CE69C-0FDC-46D3-AB2C-4876E04E01C0,2025-01-09,Shirt Encinitas,Excess,16.16,
8A1F91C4-365C-45C2-AFFA-248E4B02CA59,2025-01-09,Encinitas lunch,Dining Out,27,
B3AFDD1B-EDFF-484D-A343-5F477822108E,2025-01-10,Pasta Maker,Home,27,
24AFE488-2A5D-4402-A511-EEC38B87BECD,2025-01-10,Matress Topper (Couch),Home,25,
020A6A94-EB82-490B-A161-C8E7F45DA193,2025-01-10,Frozen Vegtables,Groceries,10.8,
5C341A83-9D52-4A18-89F2-B6E9D3B263EE,2025-01-10,Gas,Transportation,38.82,
7DDF0D04-D256-41F0-93F5-D837D7022251,2025-01-10,Football Food/Beer,Entertainment,33.18,
CE87A9EC-830A-46CC-A401-64B037DF8785,2025-01-10,Car wash,Transportation,4,
A92AD146-166B-44A7-834D-46600597F6A9,2025-01-10,Beer,Entertainment,10,
2FE0C72D-7520-433F-A204-06B508998511,2025-01-10,Tpark,Excess,36,
D6D85907-12B8-4E56-860D-950CC87949E1,2025-01-11,Ralphs,Groceries,2.42,
BB75A169-E4DF-49E6-9F67-79568CD7FAB4,2025-01-11,Going Out,Excess,75,
82AE830D-4D78-4050-AE17-8DACBC412773,2025-01-12,Vonns,Groceries,2.5,
D5330316-11E5-4259-8EFE-15D9DCB59A5D,2025-01-12,Ralphs,Groceries,26.57,
2E7EB30C-3479-4FED-B745-A3B0922307F2,2025-01-13,Pasta Dinner Ingredients,Groceries,35,
